C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_037.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_037.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_037.jpg, 0, 0, 0, 7.857065E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_152.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_152.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_152.jpg, 0, 0, 0, 7.791368E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_270.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_270.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_270.jpg, 0, 0, 0, 7.819336E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_376.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_376.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_376.jpg, 0, 0, 0, 7.858631E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_487.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_487.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_487.jpg, 0, 0, 0, 8.142246E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_590.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_590.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_590.jpg, 0, 0, 0, 7.805755E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_694.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_694.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_694.jpg, 0, 0, 0, 7.827154E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_794.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_794.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_794.jpg, 0, 0, 0, 7.878439E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_03_904.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_03_904.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_03_904.jpg, 0, 0, 0, 7.845368E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_04_014.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_04_014.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_04_014.jpg, 0, 0, 0, 7.835619E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_04_114.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_04_114.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_04_114.jpg, 0, 0, 0, 7.882137E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_04_222.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_04_222.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_04_222.jpg, 0, 0, 0, 7.804529E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_04_334.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_04_334.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_04_334.jpg, 0, 0, 0, 7.811269E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_04_447.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_04_447.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_04_447.jpg, 0, 0, 0, 7.827007E-05
C:\Users\davis\Downloads\IMG\center_2021_01_19_20_38_04_560.jpg, C:\Users\davis\Downloads\IMG\left_2021_01_19_20_38_04_560.jpg, C:\Users\davis\Downloads\IMG\right_2021_01_19_20_38_04_560.jpg, 0, 0, 0, 7.904031E-05
